Device_ID,Device_Type,Department,Manufacturer,Age_Years,Daily_Usage_Hours,Daily_Idle_Hours,Total_Runtime_Hours,Temperature_C,Error_Count_Monthly,Days_Since_Last_Maintenance,Current_Status,Needs_Maintenance
DEV-038,Ultrasound,ER,Philips,4.5,12,8,4493,54.7,4,38,Idle,0
DEV-039,Infusion Pump,ICU,Dräger,9.4,13,10,988,58.9,2,226,Operational,0
DEV-040,X-Ray Machine,Cardiology,Medtronic,8.1,11,9,6157,55.1,3,142,Idle,0
DEV-041,Dialysis Machine,Surgery,Dräger,2.6,17,4,546,28.7,0,292,Idle,0
DEV-042,Infusion Pump,General Ward,Philips,2.5,9,13,3859,47.8,0,151,Operational,0
DEV-043,Anesthesia Machine,General Ward,Medtronic,1.6,7,16,5373,34.4,2,114,Idle,0
DEV-044,Dialysis Machine,Radiology,Dräger,8.1,13,10,5635,39.9,3,237,Operational,0
DEV-045,Anesthesia Machine,ICU,Medtronic,9.3,9,13,5306,46.7,2,66,Operational,0
DEV-046,Patient Monitor,ICU,GE Healthcare,3.5,5,15,900,53.4,0,361,Operational,0
DEV-047,Infusion Pump,Radiology,GE Healthcare,0.7,9,13,4490,36.1,2,341,Idle,0
DEV-048,X-Ray Machine,Radiology,Dräger,1.4,19,1,6413,21.8,5,258,Maintenance,1
DEV-049,Ultrasound,Radiology,Medtronic,11.6,6,16,7624,46.8,1,249,Faulty,1
DEV-050,ECG Machine,Surgery,Philips,3.9,10,11,3657,71.4,2,331,Faulty,1
DEV-051,MRI Scanner,Cardiology,Dräger,9.3,5,15,4845,43.0,3,323,Operational,0
DEV-052,Ventilator,ICU,GE Healthcare,7.7,18,3,890,45.5,1,180,Operational,0
DEV-053,X-Ray Machine,Surgery,GE Healthcare,4.9,10,13,4353,62.8,0,190,Faulty,1
DEV-054,Infusion Pump,Radiology,Dräger,2.9,2,20,4930,50.9,0,154,Idle,0
DEV-055,ECG Machine,ICU,Medtronic,1.9,14,9,1128,47.2,0,196,Operational,0
DEV-056,X-Ray Machine,Surgery,GE Healthcare,7.6,17,6,4732,49.4,2,311,Idle,0
DEV-057,Infusion Pump,Cardiology,Medtronic,9.4,14,9,3430,47.5,2,262,Operational,0
DEV-058,Defibrillator,Surgery,GE Healthcare,7.9,15,8,7331,33.6,1,143,Idle,0
DEV-059,Defibrillator,Cardiology,GE Healthcare,6.6,4,18,2021,31.6,1,342,Operational,0
DEV-060,Anesthesia Machine,Radiology,Siemens,1.0,7,16,1326,63.9,2,316,Maintenance,1
DEV-061,X-Ray Machine,Cardiology,GE Healthcare,11.6,19,3,5322,46.8,1,101,Operational,0
DEV-062,Defibrillator,ICU,Philips,9.7,6,16,2000,46.0,0,244,Idle,0
DEV-063,Infusion Pump,Radiology,Dräger,3.9,16,5,7237,44.1,1,12,Operational,0
DEV-064,Anesthesia Machine,ICU,Dräger,11.8,3,17,3794,52.8,3,239,Operational,0
DEV-065,Infusion Pump,General Ward,Medtronic,7.4,11,9,5585,70.4,2,49,Operational,0
DEV-066,Anesthesia Machine,ER,GE Healthcare,7.2,19,3,2919,50.2,6,42,Operational,0
DEV-067,X-Ray Machine,Cardiology,Philips,9.1,14,7,1434,39.1,1,166,Operational,0
DEV-068,ECG Machine,ER,Medtronic,9.8,6,16,3542,43.7,0,82,Operational,0
DEV-069,Ultrasound,ER,Siemens,8.0,2,20,4997,55.7,1,291,Idle,0
DEV-070,Dialysis Machine,Cardiology,Medtronic,2.0,2,20,1966,39.2,1,158,Operational,0
DEV-071,ECG Machine,Radiology,Medtronic,4.4,19,2,4061,53.5,3,216,Operational,0
DEV-072,Patient Monitor,General Ward,GE Healthcare,11.2,16,4,1114,21.8,2,158,Operational,0
DEV-073,Infusion Pump,ICU,Siemens,3.1,18,3,5892,42.7,2,134,Idle,0
DEV-074,Patient Monitor,Surgery,Medtronic,4.8,12,11,1682,51.3,1,67,Idle,0
DEV-075,ECG Machine,ICU,Philips,5.5,18,3,3723,57.7,2,336,Operational,0
DEV-076,Anesthesia Machine,Surgery,Philips,5.6,14,7,7638,36.8,2,7,Operational,0
DEV-077,Dialysis Machine,ICU,Dräger,7.5,2,19,3167,30.0,3,14,Operational,0
DEV-078,Dialysis Machine,Cardiology,Siemens,11.3,3,18,6831,42.4,3,73,Operational,0
DEV-079,Ventilator,General Ward,Siemens,3.3,10,10,5717,33.7,3,163,Idle,0
DEV-080,Dialysis Machine,Surgery,Dräger,1.9,4,19,630,43.5,3,66,Operational,0
DEV-081,Ultrasound,Radiology,Medtronic,2.8,2,18,7448,44.9,0,347,Operational,0
DEV-082,Dialysis Machine,ICU,Siemens,10.7,17,3,5790,31.8,0,130,Operational,0
DEV-083,ECG Machine,ICU,Philips,7.9,7,14,3483,53.0,2,206,Idle,0
DEV-084,Ventilator,Surgery,Philips,3.8,18,4,7629,43.4,2,276,Operational,0
DEV-085,ECG Machine,Radiology,GE Healthcare,9.9,6,16,4778,55.8,1,256,Operational,0
DEV-086,ECG Machine,Radiology,Siemens,10.4,6,14,7626,26.6,3,266,Faulty,1
DEV-087,MRI Scanner,Cardiology,Medtronic,10.2,7,13,4959,34.8,0,25,Idle,0
DEV-088,Ventilator,Cardiology,Dräger,11.1,4,17,538,50.2,0,281,Operational,0
DEV-089,ECG Machine,Cardiology,Dräger,3.4,6,14,4459,37.0,1,253,Operational,0
DEV-090,MRI Scanner,Cardiology,Medtronic,9.2,6,15,7140,43.4,2,310,Faulty,1
DEV-091,MRI Scanner,Cardiology,GE Healthcare,5.8,11,11,4087,45.0,1,289,Operational,0
DEV-092,Ventilator,Cardiology,Dräger,10.2,11,11,5968,46.6,1,164,Operational,0
DEV-093,Patient Monitor,General Ward,Siemens,8.9,18,5,7625,38.2,1,95,Operational,0
DEV-094,Anesthesia Machine,Radiology,GE Healthcare,9.4,15,7,1420,46.5,3,270,Operational,0
DEV-095,Ultrasound,Cardiology,Siemens,8.0,10,10,3269,37.2,3,321,Operational,0
DEV-096,Anesthesia Machine,Radiology,Philips,2.5,15,7,7828,51.7,2,110,Operational,0
DEV-097,Dialysis Machine,Radiology,GE Healthcare,6.8,2,19,4611,43.9,2,336,Idle,0
DEV-098,Ultrasound,ER,Dräger,11.8,14,8,992,46.6,3,310,Operational,0
DEV-099,Dialysis Machine,General Ward,GE Healthcare,11.3,14,9,6045,70.7,1,238,Maintenance,1
DEV-100,ECG Machine,Cardiology,GE Healthcare,1.0,5,17,1631,33.9,2,25,Operational,0
DEV-101,Infusion Pump,ICU,GE Healthcare,2.4,2,19,7537,58.9,2,141,Operational,0
DEV-102,Ventilator,Surgery,GE Healthcare,2.0,18,3,4021,18.4,2,117,Operational,0
DEV-103,Ultrasound,ICU,Siemens,8.8,9,11,810,24.2,1,25,Operational,0
DEV-104,Ultrasound,General Ward,Philips,9.9,3,19,1238,32.6,1,79,Operational,0
DEV-105,ECG Machine,Surgery,Medtronic,3.0,9,12,3741,33.2,2,68,Operational,0
DEV-106,Patient Monitor,General Ward,GE Healthcare,6.3,8,15,1045,47.0,1,173,Operational,0
DEV-107,MRI Scanner,Radiology,Dräger,10.2,3,17,2961,47.9,1,12,Idle,0
DEV-108,ECG Machine,Surgery,GE Healthcare,8.9,4,19,4846,42.5,2,288,Operational,0
DEV-109,Defibrillator,Radiology,Dräger,6.7,19,3,5354,43.5,2,128,Idle,0
DEV-110,MRI Scanner,ICU,Siemens,7.3,13,9,2304,50.3,1,96,Operational,0
DEV-111,Ventilator,ICU,Dräger,6.3,2,20,3712,53.3,2,92,Operational,0
DEV-112,MRI Scanner,Surgery,Medtronic,3.9,13,7,5893,31.7,2,141,Operational,0
DEV-113,Patient Monitor,Surgery,Philips,7.0,6,15,6227,41.4,3,31,Operational,0
DEV-114,MRI Scanner,Cardiology,Dräger,8.4,18,2,4310,44.3,1,334,Operational,0
DEV-115,Ventilator,General Ward,Dräger,10.5,17,6,6510,49.9,1,20,Operational,0
DEV-116,Patient Monitor,Cardiology,Philips,7.8,16,4,7706,37.3,3,146,Operational,0
DEV-117,Anesthesia Machine,General Ward,Medtronic,9.3,16,7,1313,44.1,3,316,Operational,0
DEV-118,Ultrasound,Cardiology,GE Healthcare,2.3,6,14,4624,45.3,1,160,Operational,0
DEV-119,Ultrasound,Radiology,Dräger,5.8,15,6,5553,38.0,1,349,Idle,0
DEV-120,Dialysis Machine,Surgery,Philips,0.6,3,20,2532,37.7,1,43,Idle,0
DEV-121,Anesthesia Machine,ICU,Siemens,3.3,12,10,5072,46.0,0,254,Idle,0
DEV-122,Anesthesia Machine,General Ward,Philips,8.9,8,14,4913,43.7,0,130,Idle,0
DEV-123,MRI Scanner,General Ward,Siemens,11.9,7,13,744,50.0,0,60,Operational,0
DEV-124,Ultrasound,ICU,Medtronic,1.6,3,19,5343,34.5,2,151,Operational,0
DEV-125,Ventilator,Cardiology,GE Healthcare,5.1,7,16,5292,41.5,2,287,Idle,0
DEV-126,X-Ray Machine,General Ward,Philips,9.7,19,3,771,42.7,2,5,Operational,0
DEV-127,X-Ray Machine,Radiology,Dräger,2.8,3,18,4011,53.1,1,266,Operational,0
DEV-128,Patient Monitor,Surgery,Medtronic,6.9,19,2,2271,35.6,1,345,Operational,0
DEV-129,Ultrasound,ICU,Philips,8.9,16,4,1762,47.3,0,130,Operational,0
DEV-130,Ultrasound,Surgery,Dräger,7.6,3,20,2924,47.5,0,267,Operational,0
DEV-131,X-Ray Machine,General Ward,Philips,2.7,7,14,4861,61.5,0,178,Idle,0
DEV-132,Ultrasound,General Ward,Siemens,4.6,2,19,7569,34.9,2,253,Operational,0
DEV-133,MRI Scanner,ICU,Philips,9.5,16,7,1420,38.4,0,56,Operational,0
DEV-134,Defibrillator,Radiology,Philips,6.9,11,11,3930,35.6,1,83,Idle,0
DEV-135,Infusion Pump,ER,Philips,0.6,18,4,4935,28.3,2,99,Operational,0
DEV-136,Anesthesia Machine,ICU,Medtronic,9.3,6,14,4984,62.6,3,149,Faulty,1
DEV-137,Dialysis Machine,ER,Philips,0.9,5,17,3124,32.6,1,329,Operational,0
DEV-138,Patient Monitor,Cardiology,Dräger,9.1,11,12,4260,36.8,2,156,Operational,0
DEV-139,Defibrillator,ER,Siemens,2.8,18,3,2550,58.2,6,190,Maintenance,1
DEV-140,X-Ray Machine,Radiology,Siemens,11.5,11,11,4000,27.5,1,263,Operational,0
DEV-141,Anesthesia Machine,Cardiology,Philips,4.7,18,2,1665,52.6,1,80,Idle,0
DEV-142,Ultrasound,ER,Medtronic,4.3,6,16,875,30.9,3,252,Operational,0
DEV-143,Dialysis Machine,Cardiology,Medtronic,2.2,3,20,2533,57.5,1,97,Idle,0
DEV-144,Ultrasound,ER,Dräger,4.0,7,13,6967,23.3,3,260,Idle,0
DEV-145,Ventilator,Radiology,Philips,10.6,3,19,645,27.5,3,260,Idle,0
DEV-146,Ventilator,ER,Siemens,12.0,14,6,6577,39.6,1,103,Operational,0
DEV-147,Dialysis Machine,ER,Medtronic,4.7,12,11,4888,54.7,1,40,Idle,0
DEV-148,Dialysis Machine,ER,Philips,5.7,12,9,931,44.7,2,273,Operational,0
DEV-149,X-Ray Machine,ICU,Medtronic,8.8,17,6,1204,41.6,1,101,Operational,0
DEV-150,Dialysis Machine,ICU,Medtronic,10.7,12,11,7592,58.5,2,359,Maintenance,1
DEV-151,MRI Scanner,ICU,Siemens,7.3,16,7,6594,66.6,0,308,Maintenance,1
DEV-152,Ultrasound,Radiology,GE Healthcare,5.0,17,6,3132,51.7,1,221,Idle,0
DEV-153,Defibrillator,Cardiology,Dräger,5.2,12,9,4994,38.8,3,308,Operational,0
DEV-154,ECG Machine,General Ward,Dräger,8.5,17,4,7460,40.8,4,124,Maintenance,1
DEV-155,Dialysis Machine,ER,Siemens,0.5,9,11,1463,32.1,0,231,Operational,0
DEV-156,Patient Monitor,ER,Medtronic,7.6,5,17,7807,46.0,1,178,Operational,0
DEV-157,Ventilator,Radiology,Philips,4.6,9,12,2734,28.7,1,63,Operational,0
DEV-158,MRI Scanner,ER,Medtronic,9.6,5,16,2541,50.5,3,116,Operational,0
DEV-159,Anesthesia Machine,ICU,Siemens,1.6,4,18,2328,65.1,3,191,Maintenance,1
DEV-160,ECG Machine,General Ward,Dräger,7.3,4,17,2608,52.2,3,62,Operational,0
DEV-161,Defibrillator,Surgery,Medtronic,6.0,19,4,4568,40.3,1,256,Operational,0
DEV-162,ECG Machine,ER,Dräger,7.9,6,17,1438,50.3,0,7,Operational,0
DEV-163,Dialysis Machine,ICU,Philips,1.2,19,3,5305,61.2,2,155,Operational,0
DEV-164,X-Ray Machine,Surgery,Dräger,7.2,11,9,1306,60.7,3,92,Operational,0
DEV-165,Ventilator,General Ward,Dräger,7.0,7,13,1963,35.0,4,14,Operational,0
DEV-166,Ventilator,Surgery,GE Healthcare,6.9,2,20,7986,50.1,0,229,Idle,0
DEV-167,Anesthesia Machine,ICU,GE Healthcare,7.4,6,16,5921,43.4,2,86,Idle,0
DEV-168,X-Ray Machine,Cardiology,GE Healthcare,8.3,10,13,3915,53.1,2,133,Operational,0
DEV-169,Ultrasound,Cardiology,Dräger,9.8,13,7,510,48.8,2,183,Operational,0
DEV-170,Infusion Pump,Surgery,Siemens,3.6,15,6,5681,21.3,2,62,Idle,0
DEV-171,MRI Scanner,Radiology,Dräger,10.0,3,20,2368,41.5,0,219,Operational,0
DEV-172,Ventilator,Surgery,Siemens,6.2,18,4,6869,47.0,0,246,Operational,0
DEV-173,Patient Monitor,ER,Siemens,1.4,15,5,7820,30.7,2,230,Operational,0
DEV-174,Ventilator,ER,GE Healthcare,1.2,14,7,7207,50.8,2,79,Idle,0
DEV-175,ECG Machine,Cardiology,Medtronic,4.3,10,11,5367,29.8,3,149,Operational,0
DEV-176,Ventilator,Radiology,Philips,9.5,16,7,6190,37.0,1,138,Operational,0
DEV-177,Ventilator,ICU,GE Healthcare,8.6,16,4,6203,58.4,5,314,Faulty,1
DEV-178,Infusion Pump,ER,GE Healthcare,9.6,12,8,5929,36.2,1,65,Idle,0
DEV-179,Infusion Pump,Cardiology,Medtronic,6.4,17,5,1384,50.7,1,13,Operational,0
DEV-180,Defibrillator,General Ward,Philips,5.6,18,2,7910,27.5,2,213,Operational,0
DEV-181,Ultrasound,Cardiology,Dräger,2.2,5,15,4064,65.8,1,242,Faulty,1
DEV-182,Patient Monitor,ER,Dräger,4.3,2,20,1889,42.0,0,213,Operational,0
DEV-183,Ventilator,ER,GE Healthcare,5.5,9,11,3901,46.0,1,181,Operational,0
DEV-184,Ventilator,Cardiology,Philips,1.5,18,3,7774,46.8,1,338,Operational,0
DEV-185,MRI Scanner,ICU,GE Healthcare,3.0,4,19,4821,51.1,0,173,Idle,0
DEV-186,Infusion Pump,Surgery,Siemens,7.4,16,7,1324,29.8,1,160,Operational,0
DEV-187,Patient Monitor,ER,GE Healthcare,9.0,16,6,2765,44.9,2,164,Idle,0
DEV-188,Anesthesia Machine,Cardiology,GE Healthcare,12.0,15,5,1436,38.4,1,188,Idle,0
DEV-189,Defibrillator,Cardiology,Dräger,11.2,15,7,3300,28.1,2,191,Operational,0
DEV-190,Ultrasound,Radiology,Dräger,7.9,3,18,3053,54.9,3,308,Operational,0
DEV-191,X-Ray Machine,Surgery,Dräger,5.3,14,9,6902,41.5,2,256,Operational,0
DEV-192,Ultrasound,General Ward,Siemens,7.8,15,8,6507,47.4,1,183,Operational,0
DEV-193,ECG Machine,ICU,Dräger,9.5,8,15,4345,46.8,3,117,Operational,0
DEV-194,Ventilator,General Ward,Philips,1.9,4,17,2296,41.7,0,282,Idle,0
DEV-195,Defibrillator,Surgery,Medtronic,5.2,16,5,553,64.8,1,196,Faulty,1
DEV-196,ECG Machine,Surgery,Philips,10.2,15,7,7714,44.5,2,34,Idle,0
DEV-197,Patient Monitor,Surgery,Philips,4.9,12,10,1226,29.4,1,52,Operational,0
DEV-198,X-Ray Machine,General Ward,Dräger,7.1,16,6,3236,41.0,0,112,Operational,0
DEV-199,Infusion Pump,Surgery,Medtronic,7.3,14,6,6140,50.0,1,252,Operational,0
DEV-200,Defibrillator,Cardiology,Medtronic,2.6,19,4,3670,50.3,2,82,Operational,0
